id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,country,countrypopulation,countrygdp_per_capita
69505234,Gonzalo Carou,ARG,male,29082,1.9,100,handball,0,0,0,Argentina,43416755,13431.87834
854221966,Gonzalo Carreras,ARG,male,32807,1.86,88,canoe,0,0,0,Argentina,43416755,13431.87834
532947055,Gonzalo Echenique Saglietti,ESP,male,32990,1.9,94,aquatics,0,0,0,Spain,46418269,25831.58231
124979010,Gonzalo Molina,ARG,male,34824,1.78,83,cycling,0,0,0,Argentina,43416755,13431.87834
67406936,Gonzalo Peillat,ARG,male,33828,1.77,82,hockey,1,0,0,Argentina,43416755,13431.87834
579541939,Gonzalo Raul Tellechea,ARG,male,31239,1.74,61,triathlon,0,0,0,Argentina,43416755,13431.87834
897428173,Gonzalo Ruiz de la Cruz,MEX,male,32261,1.86,87,volleyball,0,0,0,Mexico,127017224,9005.024265
607191429,Gor Minasyan,ARM,male,34632,1.8,144,weightlifting,0,1,0,Armenia,3017712,3489.12769
612779114,Goran Stojanovic,QAT,male,28180,1.91,90,handball,0,0,0,Qatar,2235355,73653.39443
667077682,Gorazd Skof,SLO,male,28317,1.88,90,handball,0,0,0,Slovenia,2063768,20726.53989
908126279,Gordon Benson,GBR,male,34466,1.91,78,triathlon,0,0,0,United Kingdom,65138232,43875.96961
192247711,Gordon Johnston,CAN,male,33999,1.87,88,hockey,0,0,0,Canada,35851774,43248.52991
329155440,Goretti Alejandra Zumaya Flores,MEX,female,35581,1.65,65,shooting,0,0,0,Mexico,127017224,9005.024265
607509598,Govert Viergever,NED,male,32718,1.84,85,rowing,0,0,0,Netherlands,16936520,44299.76809
702595268,Grace Claxton,PUR,female,34200,,,athletics,0,0,0,Puerto Rico,3474182,
705783753,Grace Latz,USA,female,32194,1.83,79,rowing,0,0,0,United States,321418820,56115.71843
552672529,Grace Luczak,USA,female,32652,1.91,77,rowing,0,0,0,United States,321418820,56115.71843
313174514,Grace Prendergast,NZL,female,33785,1.83,73,rowing,0,0,0,New Zealand,4595700,37807.96728
555289430,Grace Reid,GBR,female,35194,1.69,67,aquatics,0,0,0,United Kingdom,65138232,43875.96961
120616586,Grace Stewart,AUS,female,35548,1.75,68,hockey,0,0,0,Australia,23781169,56310.96299
304397961,Grace Wanjiru Njue,KEN,female,28865,1.62,43,athletics,0,0,0,Kenya,46050302,1376.712829
537810856,Grace Zaadi Deuna,FRA,female,34157,1.71,66,handball,0,1,0,France,66808385,36205.5681
893023802,Gracie Elvin,AUS,female,32447,1.75,65,cycling,0,0,0,Australia,23781169,56310.96299
933428907,Graciele Herrmann,BRA,female,33604,1.8,64,aquatics,0,0,0,Brazil,207847528,8538.589975
639691475,Graciete Santana,BRA,female,29506,1.55,43,athletics,0,0,0,Brazil,207847528,8538.589975
792601678,Graeme Saunders,CAN,male,33073,1.78,75,sailing,0,0,0,Canada,35851774,43248.52991
929889629,Graham DeLaet,CAN,male,29973,1.8,75,golf,0,0,0,Canada,35851774,43248.52991
407795026,Graham Vigrass,CAN,male,32676,2.05,97,volleyball,0,0,0,Canada,35851774,43248.52991
104640408,Grant Ferguson,GBR,male,34288,1.86,64,cycling,0,0,0,United Kingdom,65138232,43875.96961
636322182,Grant Irvine,AUS,male,33314,1.87,80,aquatics,0,0,0,Australia,23781169,56310.96299
298928947,Grant Nel,AUS,male,32240,1.73,69,aquatics,0,0,0,Australia,23781169,56310.96299
423041181,Greg Billington,USA,male,32658,1.76,65,triathlon,0,0,0,United States,321418820,56115.71843
267820041,Greg Patrick Broderick,IRL,male,31311,1.8,50,equestrian,0,0,0,Ireland,4640703,61133.67243
310167929,Greg Rutherford,GBR,male,31733,1.88,92,athletics,0,0,1,United Kingdom,65138232,43875.96961
503615176,Greg van Avermaet,BEL,male,31184,1.81,74,cycling,1,0,0,Belgium,11285721,40324.02777
615982348,Gregor Traber,GER,male,33940,1.9,80,athletics,0,0,0,Germany,81413145,41313.31399
127715970,Gregorio Paltrinieri,ITA,male,34582,1.91,72,aquatics,1,0,0,Italy,60802085,29957.80432
160584680,Gregory Bauge,FRA,male,31078,1.81,100,cycling,0,0,1,France,66808385,36205.5681
517601975,Gregory Bourdy,FRA,male,30066,1.8,70,golf,0,0,0,France,66808385,36205.5681
146969359,Gregory Echenique,VEN,male,33200,2.06,137,basketball,0,0,0,Venezuela,31108083,
266128648,Gregory Mallet,FRA,male,30762,1.96,84,aquatics,0,0,0,France,66808385,36205.5681
389701340,Gregory Vargas,VEN,male,31461,1.82,90,basketball,0,0,0,Venezuela,31108083,
342622397,Gremlis Arvelo,VEN,female,35298,1.67,62,table tennis,0,0,0,Venezuela,31108083,
695131532,Greysia Polii,INA,female,32000,1.63,56,badminton,0,0,0,Indonesia,257563815,3346.487039
282490475,Griedge Mbock Bathy,FRA,female,34756,1.72,64,football,0,0,0,France,66808385,36205.5681
952560452,Grigor Dimitrov,BUL,male,33374,1.91,80,tennis,0,0,0,Bulgaria,7177991,6993.47736
457130620,Grigori Minaskin,EST,male,33270,1.78,100,judo,0,0,0,Estonia,1311998,17118.5042
383336831,Grigory Tarasevich,RUS,male,34912,1.91,75,aquatics,0,0,0,Russia,144096812,9092.580536
96493170,Grischa Proemel,GER,male,34708,1.82,78,football,0,1,0,Germany,81413145,41313.31399
572471810,Griselda Khng,SIN,female,33450,1.55,60,sailing,0,0,0,Singapore,5535002,52888.74467
326722499,Grit Sadeiko,EST,female,32718,1.72,59,athletics,0,0,0,Estonia,1311998,17118.5042
96345357,Grzegorz Fijalek,POL,male,31908,1.85,99,volleyball,0,0,0,Poland,37999494,12554.54755
491637727,Grzegorz Hedwig,POL,male,32341,1.79,82,canoe,0,0,0,Poland,37999494,12554.54755
844475495,Grzegorz Lomacz,POL,male,32051,1.87,80,volleyball,0,0,0,Poland,37999494,12554.54755
282268874,Guadalupe Lopez,COL,female,32154,1.65,58,rugby sevens,0,0,0,Colombia,48228704,6056.147717
466700626,Guan-Lin Yu,TPE,male,34302,1.71,58,archery,0,0,0,Taiwan,,
85090026,Guangyuan Li,CHN,male,35488,1.87,81,aquatics,0,0,0,China,1371220000,8027.68381
613886806,Guanjie Johnathan Wong,MAS,male,33839,1.72,67,shooting,0,0,0,Malaysia,30331007,9768.32686
78601659,Guannan Niu,CHN,female,33734,1.77,68,aquatics,0,0,0,China,1371220000,8027.68381
331829339,Gudaf Tsegay,ETH,female,35757,1.63,50,athletics,0,0,0,Ethiopia,99390750,619.1694065
576749129,Gudni Valur Gudnason,ISL,male,34983,1.99,120,athletics,0,0,0,Iceland,330823,50173.33992
511096047,Gudrun Stock,GER,female,34842,1.68,62,cycling,0,0,0,Germany,81413145,41313.31399
233933004,Guendalina Sartori,ITA,female,32363,1.69,90,archery,0,0,0,Italy,60802085,29957.80432
100452924,Guham Cho,KOR,male,33815,1.78,100,judo,0,0,0,South Korea,50617045,27221.52405
220835497,Guido Pella,ARG,male,33010,1.83,80,tennis,0,0,0,Argentina,43416755,13431.87834
905148205,Guido Vianello,ITA,male,34463,1.98,,boxing,0,0,0,Italy,60802085,29957.80432
405955663,Guilherme Giovannoni,BRA,male,29374,2.04,100,basketball,0,0,0,Brazil,207847528,8538.589975
196836126,Guilherme Guido,BRA,male,31820,1.94,90,aquatics,0,0,0,Brazil,207847528,8538.589975
256859725,Guilherme Melaragno,BRA,male,34190,1.84,88,fencing,0,0,0,Brazil,207847528,8538.589975
304528456,Guilherme Toldo,BRA,male,33848,1.76,70,fencing,0,0,0,Brazil,207847528,8538.589975
428363139,Guillaume Raineau,FRA,male,31592,1.87,71,rowing,0,0,1,France,66808385,36205.5681
9637437,Guillermo Duran,ARG,male,32300,1.78,82,tennis,0,0,0,Argentina,43416755,13431.87834
107880382,Guillermo Molina Rios,ESP,male,30757,1.95,105,aquatics,0,0,0,Spain,46418269,25831.58231
70220465,Gulbadam Babamuratova,TKM,female,33474,1.56,52,judo,0,0,0,Turkmenistan,5373502,6672.477544
699962258,Gulnabat Kadyrova,TKM,female,34499,1.65,69,weightlifting,0,0,0,Turkmenistan,5373502,6672.477544
192705392,Gulnaz Gubaydullina,RUS,female,33648,1.64,51,modern pentathlon,0,0,0,Russia,144096812,9092.580536
15083082,Gulnoza Matniyazova,UZB,female,34556,1.68,70,judo,0,0,0,Uzbekistan,31299500,2132.070368
126810270,Gulzhanat Zhanatbek,KAZ,female,33572,1.7,55,athletics,0,0,0,Kazakhstan,17544126,10509.98107
696433108,Gundegmaa Otryad,MGL,female,28633,1.68,63,shooting,0,0,0,Mongolia,2959134,3967.829386
504342645,Gunn-Rita Dahle Flesjaa,NOR,female,26705,,,cycling,0,0,0,Norway,5195921,74400.36978
732208032,Gunnar Bentz,USA,male,35067,1.96,83,aquatics,1,0,0,United States,321418820,56115.71843
151055874,Gunta Latiseva-Cudare,LAT,female,34767,1.79,68,athletics,0,0,0,Latvia,1978440,13648.54756
970528741,Guojian Dong,CHN,male,31852,1.7,55,athletics,0,0,0,China,1371220000,8027.68381
849428562,Guor Marial,SSD,male,30787,1.8,60,athletics,0,0,0,,,
174463586,Guowei Zhang,CHN,male,33393,2.02,77,athletics,0,0,0,China,1371220000,8027.68381
695858631,Gurmeet Singh,IND,male,31229,1.72,60,athletics,0,0,0,India,1311050527,1598.259034
773668294,Gurpreet Singh,IND,male,32130,1.76,81,shooting,0,0,0,India,1311050527,1598.259034
335760688,Gustavo Albuquerque,BRA,male,33417,1.72,85,rugby sevens,0,0,0,Brazil,207847528,8538.589975
905869826,Gustavo Cuesta,DOM,male,32461,1.73,66,athletics,0,0,0,Dominican Republic,10528391,6468.473492
587811250,Gustavo Guimaraes,BRA,male,34358,1.8,90,aquatics,0,0,0,Brazil,207847528,8538.589975
17989231,Gustavo Lima,POR,male,28319,1.85,82,sailing,0,0,0,Portugal,10348648,19222.15008
743751961,Gustavo Tsuboi,BRA,male,31198,1.7,65,table tennis,0,0,0,Brazil,207847528,8538.589975
833430291,Gustavo Vernes,BRA,male,34052,,,football,0,0,0,Brazil,207847528,8538.589975
125360707,Guy-Elphege Anouman,FRA,male,34498,1.77,75,athletics,0,0,0,France,66808385,36205.5681
369581493,Guzel Manyurova,KAZ,female,28514,1.74,75,wrestling,0,1,0,Kazakhstan,17544126,10509.98107
904653083,Gwanghee Cho,KOR,male,34327,1.82,92,canoe,0,0,0,South Korea,50617045,27221.52405
796100413,Gwanghyeok Lee,KOR,male,34953,,,football,0,0,0,South Korea,50617045,27221.52405
