Entity,Code,poverty_percent,gdp_per_capita,population,years_of_education
Sri Lanka,LKA,0.9453691,11149,21021177,10.9
Sudan,SDN,10.62583,3651,39847433,3.6
Suriname,SUR,19.36712,5872,564883,8.5
Sweden,SWE,0.2614527,44659,9836003,12.4
Switzerland,CHE,0.03427533,59662,8379915,13.4
Syria,SYR,14.36329,3091,17465567,5.1
Taiwan,TWN,0,42165,23618201,12
Tajikistan,TJK,3.356168,3991,8663575,10.5
Tanzania,TZA,49.14998,2660,53049231,5.8
Thailand,THA,0.02727074,15454,68971313,7.6
Timor,TLS,22.27965,1353,1219289,4.5
Togo,TGO,49.12019,1400,7509952,4.8
Tonga,TON,0.6729592,4157,101143,11.2
Tunisia,TUN,0.2461845,11073,11303942,7.1
Turkey,TUR,0.202717,17906,79827868,8
Turkmenistan,TKM,2.729222,23813,5662371,9.8
Uganda,UGA,40.30483,1980,39649173,5.7
Ukraine,UKR,0,9214,44713708,11.3
United Arab Emirates,ARE,0,75876,9360975,10.8
United Kingdom,GBR,0.2052228,37334,66297944,12.9
United States,USA,0.9993911,53015,323015992,13.4
United States Virgin Islands,VIR,,,104829,14.2
Uruguay,URY,0.07511552,19468,3424139,8.7
Uzbekistan,UZB,13.62555,10381,31441753,11.4
Vanuatu,VUT,15.58116,2805,278326,6.8
Venezuela,VEN,82,15219,29851249,12.8
Vietnam,VNM,1.804834,6062,93640435,8.1
Yemen,YEM,47.91951,2506,27168210,3
Zambia,ZMB,58.54165,3479,16363449,7
Zimbabwe,ZWE,32.36664,1534,14030338,8.2
American Samoa,ASM,3.8694,28347.75912,55739,0.1
Anguilla,AIA,23.487,1636.324798,14435,1.4
Bonaire Sint Eustatius and Saba,BES,36.6479,24559.45932,25017,3.7
Channel Islands,OWID_CIS,39.5327,24433.3491,166922,1.6
Curacao,CUW,39.0991,1810.878125,161055,1.4
Czechia,CZE,0,28823,10618868,12.7
Czechoslovakia,OWID_CZS,7.9016,27738,24092.39283,0.9
Democratic Republic of Congo,COD,72.84104,836,78789130,6.6
East Asia,,20.3606,15697.94,88926344,1.1
East Asia and Pacific,,1.724642,39647.90112,31248603,1.0
Eastern Europe,,36.4261,19446.35,36312755,2.2
Europe and Central Asia,,1.279116,8804.927739,29395340,1.4
Faeroe Islands,FRO,7.8047,36377.98979,48173,3.4
Falkland Islands,FLK,19.5616,40586.61148,2926,2.0
Former USSR,,24.6822,18635,90986753,2.6
Former Yugoslavia,,7.7127,15416,5846789,0.1
French Guiana,GUF,30.1742,42844.6163,267824,2.8
French Polynesia,PYF,18.2985,47486.84837,274576,3.2
Gibraltar,GIB,22.2136,45158.49396,33738,2.0
Greenland,GRL,15.0165,18019.58501,56408,3.5
Guadeloupe,GLP,43.0692,4271.306877,399760,3.4
Isle of Man,IMN,4.0812,7905.834323,83296,3.3
Kiribati,KIR,11.10658,8081.903522,112529,7.9
Kosovo,OWID_KOS,0.7646961,38202.78578,26448279,0.8
Kuwait,KWT,21.1725,71010,3956862,0.7
Macao,MAC,7.0455,42157.45393,612824,3.8
Marshall Islands,MHL,13.6373,26930.00502,57723,1.9
Martinique,MTQ,17.5482,23945.68813,376789,1.6
Mayotte,MYT,21.7797,33405.49272,246460,3.0
Middle East,,26.0794,18010,26475771,3.8
Middle East and North Africa,,5.243514,2094.715287,28701289,3.5
Montenegro,MNE,2.504604,17741,627271,11.3
Montserrat,MSR,40.6481,13348.9167,4978,1.0
Myanmar,MMR,3.033426,5284,53045199,4.9
Netherlands Antilles,ANT,26.4750,38162.97975,319898,0.4
New Caledonia,NCL,24.6334,30364.28502,274190,2.3
Niue,NIU,30.1564,10340.32946,1611,0.7
Northern Mariana Islands,MNP,5.1972,3813.517202,56187,2.8
Oceania,,36.9901,16059.21941,40435631,0.3
Reunion,REU,39.6814,2930.977536,869742,0.4
Romania,ROU,0,17782,19796280,11
Saint Barthlemy,,6.6359,24721.06178,9745,2.1
Saint Helena,SHN,36.6767,2739.310352,5958,0.1
Saint Martin (French part),MAF,15.5416,26069.81925,36061,2.2
Saint Pierre and Miquelon,SPM,16.3398,8640.135343,5933,3.8
Serbia,SRB,6.356387,13184,8853963,11.1
Sint Maarten (Dutch part),SXM,40.5875,6508.617659,40812,3.8
South and South-East Asia,,23.9610,6991.33,43931764,2.9
South Sudan,SSD,75.26468,11449.77781,10832520,4.8
Sub-Sahara Africa,,6.1957,3491.18,72752016,2.7
Sub-Saharan Africa,,41.85471,26809.06612,19773806,2.7
Suriname (Urban),,17.53247,26823.20688,74679298,1.7
Svalbard and Jan Mayen,SJM,34.5005,7189.146351,2400,1.8
Tokelau,TKL,37.0698,46157.70022,1276,1.4
Trinidad and Tobago,TTO,0.2605341,29178,1377563,10.9
Turks and Caicos Islands,TCA,12.7845,45699.55834,36558,3.8
Tuvalu,TUV,1.329496,31115.91913,11232,1.2
Wallis and Futuna,WLF,37.3334,20241.16615,12098,3.9
Western Europe,,3.3917,38511.33,23191760,2.0
Western Offshoots,,33.1320,51667.98,97610342,0.5
Western Sahara,ESH,14.8227,4426.271872,538744,3.1
Burma,,9.0170,7578.563991,81874809,1.5
